Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
353,Mohamed Salah,FW,Liverpool,33-145,1992,10,10,893,9.9,4,2,6,3,1,1,1,0,3.3,2.5,1.7,4.1,34,37,108,0.4,0.2,0.6,0.3,0.5,0.33,0.17,0.5,0.25,0.42
354,William Saliba,DF,Arsenal,24-228,2001,9,8,634,7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,33,3,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
355,Robert Sanchez,GK,Chelsea,27-354,1997,10,10,814,9,0,0,0,0,0,0,1,1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
356,Jadon Sancho,FW,Aston Villa,25-227,2000,3,0,71,0.8,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,7,7,16,0,0,0,0,0,0.42,0.1,0.52,0.42,0.52
357,Ibrahim Sangar�,MF,Nott'ham Forest,27-340,1997,7,5,443,4.9,0,0,0,0,0,0,1,0,0.2,0.2,0,0.3,5,32,2,0,0,0,0,0,0.05,0,0.05,0.05,0.05
358,Andrey Santos,MF,Chelsea,21-188,2004,7,2,225,2.5,0,0,0,0,0,0,2,0,0.7,0.7,0.1,0.8,4,13,10,0,0,0,0,0,0.28,0.03,0.31,0.28,0.31
359,Ismaila Sarr,"MF,FW",Crystal Palace,27-255,1998,8,8,701,7.8,3,1,4,3,0,0,1,0,3.6,3.6,0.5,4.1,22,26,38,0.39,0.13,0.51,0.39,0.51,0.46,0.07,0.53,0.46,0.53
360,Sivio,MF,Manchester City,21-211,2004,7,4,354,3.9,0,1,1,0,0,0,1,0,0.2,0.2,0.4,0.7,27,8,31,0,0.25,0.25,0,0.25,0.06,0.11,0.18,0.06,0.18
361,Nicole Savona,"DF,MF",Nott'ham Forest,22-233,2003,5,3,341,3.8,1,0,1,1,0,0,0,0,0.8,0.8,0,0.8,6,12,19,0.26,0,0.26,0.26,0.26,0.21,0.01,0.21,0.21,0.21
362,Oliver Scarles,"DF,MF",West Ham,19-330,2005,2,2,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
